"chemical" "ProteinID"
"CIDm00000224" "b1415"
"CIDm00000224" "b1444"
"CIDm00000224" "b1525"
"CIDm00000224" "b1695"
"CIDm00000224" "b1697"
"CIDm00000224" "b1698"
"CIDm00000224" "b1701"
"CIDm00000224" "b1713"
"CIDm00000224" "b1714"
"CIDm00000224" "b1719"
"CIDm00000224" "b1740"
"CIDm00000224" "b1746"
"CIDm00000224" "b1759"
"CIDm00000224" "b1772"
"CIDm00000224" "b1800"
"CIDm00000224" "b1804"
"CIDm00000224" "b1805"
"CIDm00000224" "b1813"
"CIDm00000224" "b1816"
"CIDm00000224" "b1838"
"CIDm00000224" "b1843"
"CIDm00000224" "b1865"
"CIDm00000224" "b1866"
"CIDm00000224" "b1895"
"CIDm00000224" "b2019"
"CIDm00000224" "b2051"
"CIDm00000224" "b2063"
"CIDm00000224" "b2069"
"CIDm00000224" "b2100"
"CIDm00000224" "b2147"
"CIDm00000224" "b2160"
"CIDm00000224" "b2166"
"CIDm00000224" "b2214"
"CIDm00000224" "b2251"
"CIDm00000224" "b2260"
"CIDm00000224" "b2296"
"CIDm00000224" "b2312"
"CIDm00000224" "b2411"
"CIDm00000224" "b2455"
"CIDm00000224" "b2476"
"CIDm00000224" "b2499"
"CIDm00000224" "b2507"
"CIDm00000224" "b2508"
"CIDm00000224" "b2514"
"CIDm00000224" "b2518"
"CIDm00000224" "b2526"
"CIDm00000224" "b2553"
"CIDm00000224" "b2567"
"CIDm00000224" "b2576"
"CIDm00000224" "b2609"
"CIDm00000224" "b2661"
"CIDm00000224" "b2688"
"CIDm00000224" "b2708"
"CIDm00000224" "b2712"
"CIDm00000224" "b2730"
"CIDm00000224" "b2734"
"CIDm00000224" "b2769"
"CIDm00000224" "b2770"
"CIDm00000224" "b2795"
"CIDm00000224" "b2830"
"CIDm00000224" "b2836"
"CIDm00000224" "b2904"
"CIDm00000224" "b2926"
"CIDm00000224" "b2930"
"CIDm00000224" "b3032"
"CIDm00000224" "b3115"
"CIDm00000224" "b3162"
"CIDm00000224" "b3165"
"CIDm00000224" "b3172"
"CIDm00000224" "b3197"
"CIDm00000224" "b3230"
"CIDm00000224" "b3236"
"CIDm00000224" "b3282"
"CIDm00000224" "b3290"
"CIDm00000224" "b3296"
"CIDm00000224" "b3297"
"CIDm00000224" "b3298"
"CIDm00000224" "b3303"
"CIDm00000224" "b3306"
"CIDm00000224" "b3307"
"CIDm00000224" "b3311"
"CIDm00000224" "b3314"
"CIDm00000224" "b3316"
"CIDm00000224" "b3321"
"CIDm00000224" "b3341"
"CIDm00000224" "b3342"
